,PandL_vs_TWAP,PandL_agent,PandL_TWAP
0,1382.2499999999998,-0.001225,-8.264462809917356e-05
1,180.29240248399415,0.002427467087659347,0.0008660481219422153
2,105.89792289616801,0.003185572086053814,0.0015471608655616511
3,9.547568421840422,0.0022011880552285494,0.0020093445130176892
4,-100.0,0.0,0.001887717237371334
5,-100.0,0.0,0.0006227935706495745
6,-100.0,0.0,0.0009146990322007713
7,-100.0,0.0,0.000841722666812972
8,-100.0,0.0,0.0008660481219422153
9,-100.0,0.0,0.0005254917501324629
10,149.94517304069558,0.001678243069677854,0.0006714444809080613
11,219.13976403245852,0.0043941801348605335,0.0013768826796568094
12,100.33162423150259,0.002222284062934865,0.001109302673234856
13,8.8878223511206,0.0008900460237611164,0.0008173972116836595
14,-100.0,0.0,0.0010995724911831036
15,-100.0,0.0,0.0013282317693982535
16,-100.0,0.0,0.0014012081347860525
17,-100.0,0.0,0.0014741845001738517
18,-100.0,0.0,0.001109302673234856
19,-100.0,0.0,0.0009876753975885703
20,193.186618393837,0.002895732098897814,0.0009876753975885703
21,183.15306685079182,0.002521120089906934,0.0008903735770714587
22,111.89053021959063,0.0057008241464198564,0.002690457256637125
23,9.704808462848675,0.0033785400834849917,0.003079664538705364
24,-100.0,0.0,0.0027877590771541675
25,-100.0,0.0,0.0033472445451273166
26,-100.0,0.0,0.004271611840039395
27,-100.0,0.0,0.004733795487495433
28,-100.0,0.0,0.0057554646029245515
29,-100.0,0.0,0.005852766423441663
30,268.7638690258423,0.020596149523707696,0.005585186417019709
31,268.7638690258423,0.020596149523707696,0.005585186417019709
32,116.09356247238311,0.012069228299261542,0.005585186417019709
33,9.837231769682617,0.0061346141496307705,0.005585186417019709
34,-100.0,0.0,0.010669206539036198
35,-100.0,0.0,0.011739526564723872
36,-100.0,0.0,0.013739078976349501
37,-100.0,0.0,0.014427489356507681
38,-100.0,0.0,0.014853184821269856
39,-100.0,0.0,0.016993824872645207
40,279.88355205007633,0.06732899764529611,0.0177235885265232
41,280.0401219067911,0.06948301669699247,0.018283073994496277
42,118.9709438038272,0.04642650112383602,0.021202128610008107
43,9.953534897768002,0.021512437118698557,0.019565025479808606
44,-100.0,0.0,0.019304743109925464
45,-100.0,0.0,0.018489840363095054
46,-100.0,0.0,0.01823442308423772
47,-100.0,0.0,0.019475021295830307
48,-100.0,0.0,0.018171176900901673
49,-100.0,0.0,0.017966843077815837
50,279.98338819749324,0.06868696617788718,0.0180763076258975
51,280.0598404120747,0.06976397570373549,0.018356050359884076
52,118.75010476804837,0.03818503692604092,0.017456008520101245
53,9.948424139227168,0.019379824467515783,0.017626286706006085
54,-100.0,0.0,0.017918192167557283
55,-100.0,0.0,0.018039819443203636
56,-100.0,0.0,0.018088470353462192
57,-100.0,0.0,0.017626286706006085
58,-100.0,0.0,0.01813712126372068
59,-100.0,0.0,0.01783305307460486
60,280.07289920924006,0.06995128170823094,0.018404701270142633
61,279.96645397334936,0.06845283367226822,0.018015493988074394
62,118.77902955067357,0.03909480894787553,0.017869541257298793
63,9.948566103664527,0.019433340468800197,0.01767493761626464
64,-100.0,0.0,0.018064144898332878
65,-100.0,0.0,0.01721518651432147
66,-100.0,0.0,0.01711545214829156
67,-100.0,0.0,0.016920848507257405
68,-100.0,0.0,0.01711545214829156
69,-100.0,0.0,0.01760196125087684
